camera;imagem;ponto;X_mm;Y_mm;Z_mm;u_px;v_px;erro_reprojecao_px
leftcamera;Im_L_2.png;ponto_alto;125.0;75.0;-50;376.03085;260.60168;0.12594499
leftcamera;Im_L_20.png;origem;0;0;0;151.00937;93.64061;0.17133676
leftcamera;Im_L_20.png;canto_dir;250.0;0;0;590.00183;92.41855;0.17133676
leftcamera;Im_L_20.png;canto_baixo;0;150.0;0;163.12791;362.77286;0.17133676
leftcamera;Im_L_20.png;canto_dir_baixo;250.0;150.0;0;593.89343;347.4282;0.17133676
leftcamera;Im_L_20.png;ponto_alto;125.0;75.0;-50;370.49344;222.207;0.17133676
leftcamera;Im_L_3.png;origem;0;0;0;166.38823;154.57458;0.15228425
leftcamera;Im_L_3.png;canto_dir;250.0;0;0;572.403;134.34686;0.15228425
leftcamera;Im_L_3.png;canto_baixo;0;150.0;0;174.46474;403.22025;0.15228425
leftcamera;Im_L_3.png;canto_dir_baixo;250.0;150.0;0;585.1198;382.22656;0.15228425
leftcamera;Im_L_3.png;ponto_alto;125.0;75.0;-50;355.94315;262.6185;0.15228425
leftcamera;Im_L_4.png;origem;0;0;0;183.186;132.73561;0.16948353
leftcamera;Im_L_4.png;canto_dir;250.0;0;0;593.5503;128.62326;0.16948353
leftcamera;Im_L_4.png;canto_baixo;0;150.0;0;187.30655;382.16556;0.16948353
leftcamera;Im_L_4.png;canto_dir_baixo;250.0;150.0;0;595.42334;378.03308;0.16948353
leftcamera;Im_L_4.png;ponto_alto;125.0;75.0;-50;372.81073;253.62688;0.16948353
leftcamera;Im_L_5.png;origem;0;0;0;196.78162;94.961266;0.17593354
leftcamera;Im_L_5.png;canto_dir;250.0;0;0;601.8064;129.98155;0.17593354
leftcamera;Im_L_5.png;canto_baixo;0;150.0;0;171.66109;343.4172;0.17593354
leftcamera;Im_L_5.png;canto_dir_baixo;250.0;150.0;0;584.3111;374.77792;0.17593354
leftcamera;Im_L_5.png;ponto_alto;125.0;75.0;-50;376.7067;223.9314;0.17593354
leftcamera;Im_L_6.png;origem;0;0;0;189.046;113.19588;0.17642614
leftcamera;Im_L_6.png;canto_dir;250.0;0;0;595.0953;127.760605;0.17642614
leftcamera;Im_L_6.png;canto_baixo;0;150.0;0;177.07846;362.2642;0.17642614
leftcamera;Im_L_6.png;canto_dir_baixo;250.0;150.0;0;589.0782;373.1715;0.17642614
leftcamera;Im_L_6.png;ponto_alto;125.0;75.0;-50;374.73285;234.26079;0.17642614
leftcamera;Im_L_7.png;origem;0;0;0;183.59358;165.01811;0.17681023
leftcamera;Im_L_7.png;canto_dir;250.0;0;0;593.4532;151.91357;0.17681023
leftcamera;Im_L_7.png;canto_baixo;0;150.0;0;193.80798;413.28156;0.17681023
