camera;imagem;ponto;X_mm;Y_mm;Z_mm;u_px;v_px;erro_reprojecao_px
rightcamera;Im_R_2.png;ponto_alto;125.0;75.0;-50;627.20056;241.89757;0.14559634
rightcamera;Im_R_20.png;origem;0;0;0;393.09982;72.343666;0.18649362
rightcamera;Im_R_20.png;canto_dir;250.0;0;0;819.91315;73.36576;0.18649362
rightcamera;Im_R_20.png;canto_baixo;0;150.0;0;403.85544;347.57074;0.18649362
rightcamera;Im_R_20.png;canto_dir_baixo;250.0;150.0;0;817.4704;327.81885;0.18649362
rightcamera;Im_R_20.png;ponto_alto;125.0;75.0;-50;643.92944;203.89223;0.18649362
rightcamera;Im_R_3.png;origem;0;0;0;384.97397;136.08281;0.18203017
rightcamera;Im_R_3.png;canto_dir;250.0;0;0;793.1056;115.61261;0.18203017
rightcamera;Im_R_3.png;canto_baixo;0;150.0;0;399.5343;388.56464;0.18203017
rightcamera;Im_R_3.png;canto_dir_baixo;250.0;150.0;0;806.9768;362.4385;0.18203017
rightcamera;Im_R_3.png;ponto_alto;125.0;75.0;-50;613.02075;245.17018;0.18203017
rightcamera;Im_R_4.png;origem;0;0;0;404.34427;113.6453;0.16886032
rightcamera;Im_R_4.png;canto_dir;250.0;0;0;816.5923;109.92503;0.16886032
rightcamera;Im_R_4.png;canto_baixo;0;150.0;0;410.25385;367.2538;0.16886032
rightcamera;Im_R_4.png;canto_dir_baixo;250.0;150.0;0;815.38855;358.18274;0.16886032
rightcamera;Im_R_4.png;ponto_alto;125.0;75.0;-50;630.25543;236.05605;0.16886032
rightcamera;Im_R_5.png;origem;0;0;0;416.29843;74.81988;0.16968597
rightcamera;Im_R_5.png;canto_dir;250.0;0;0;818.90704;111.34562;0.16968597
rightcamera;Im_R_5.png;canto_baixo;0;150.0;0;398.5831;328.31354;0.16968597
rightcamera;Im_R_5.png;canto_dir_baixo;250.0;150.0;0;804.19574;355.08746;0.16968597
rightcamera;Im_R_5.png;ponto_alto;125.0;75.0;-50;632.77747;206.61256;0.16968597
rightcamera;Im_R_6.png;origem;0;0;0;408.31107;93.52618;0.18320963
rightcamera;Im_R_6.png;canto_dir;250.0;0;0;812.55865;109.05328;0.18320963
rightcamera;Im_R_6.png;canto_baixo;0;150.0;0;403.06485;347.26038;0.18320963
